City_ID,City,Country,Max Temp,Weather Description,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
150,Abu Dhabi,AE,64.96,clear sky,74,1,1.99,24.4667,54.3667,Ramee Garden Hotel Apartments
154,Mahebourg,MU,80.89,broken clouds,83,75,19.57,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
156,Quatre Cocos,MU,81.09,light rain,85,99,19.48,-20.2078,57.7625,Sunrise Attitude Hotel
158,Oistins,BB,75.29,few clouds,69,20,10.36,13.0667,-59.5333,Butterfly Beach Hotel
160,Sabang,ID,81.61,broken clouds,77,62,18.45,5.8933,95.3214,Hotel Citra
162,Cape Town,ZA,65.88,clear sky,68,0,1.99,-33.9258,18.4232,Southern Sun Waterfront Cape Town
163,Santa Maria,BR,72.72,broken clouds,89,76,2.59,-29.6842,-53.8069,Hotel Morotin
164,San Pedro De Lloc,PE,70.11,overcast clouds,80,96,10.69,-7.4328,-79.5058,La Posada Del Valle
168,Bambous Virieux,MU,81.21,light rain,83,75,19.57,-20.3428,57.7575,Casa Tia Villa
169,Sechura,PE,70.52,scattered clouds,84,35,8.61,-5.5569,-80.8222,Hospedaje Costa Bella
170,Kavaratti,IN,77.94,broken clouds,58,81,4.79,10.5669,72.642,Hotels in Lakshadweep Islands
173,Kavieng,PG,83.95,broken clouds,71,83,8.93,-2.5744,150.7967,Nusa Island Retreat
175,Makakilo City,US,74.95,broken clouds,72,75,3.44,21.3469,-158.0858,Marriott's Ko Olina Beach Club
178,Hirara,JP,64.26,broken clouds,63,75,14.97,24.8,125.2833,Hotel Atoll Emerald Miyakojima
180,Chuy,UY,68.04,scattered clouds,94,44,3.76,-33.6971,-53.4616,Nuevo Hotel Plaza
181,Hidrolandia,BR,72.09,scattered clouds,96,27,3.04,-4.4081,-40.4378,Camping Pedra do Tatu - Fazenda Alves
184,Warrnambool,AU,77.81,overcast clouds,60,100,21.16,-38.3833,142.4833,Lady Bay Resort
185,Mayumba,GA,75.56,overcast clouds,84,100,3.78,-3.432,10.6554,LIKWALE LODGE
186,Te Anau,NZ,63.18,clear sky,43,3,5.77,-45.4167,167.7167,Kingsgate Hotel Te Anau
187,Harper,LR,77.79,light rain,84,79,4.45,4.375,-7.7169,Screensaver
188,Pakxan,LA,81.75,broken clouds,37,81,4.36,18.3778,103.6601,Kong Kham Pheng Guesthouse
190,Trinidad,BO,73.83,overcast clouds,94,92,5.03,-14.8333,-64.9,Hotel Piesta
195,Sur,OM,74.75,clear sky,35,6,7.36,22.5667,59.5289,Sur Plaza Hotel
199,Alice Springs,AU,80.15,clear sky,28,0,14.97,-23.7,133.8833,Desert Palms Alice Springs
200,Monywa,MM,74.44,overcast clouds,39,88,3.62,22.1167,95.1333,Monywa Hotel
201,Kirakira,SB,84.79,overcast clouds,75,98,8.68,-10.4544,161.9205,SanBiz Lodge
202,Doha,QA,66.18,clear sky,77,0,8.05,25.2867,51.5333,Movenpick Hotel Doha
209,Flinders,AU,74.48,broken clouds,66,58,13.0,-34.5833,150.8552,Shellharbour Resort & Conference Centre
211,Port Lincoln,AU,74.35,clear sky,54,6,10.63,-34.7333,135.8667,Port Lincoln Hotel
213,Yambio,SS,71.4,overcast clouds,30,100,2.53,4.5721,28.3955,Naivasha Hotel
214,Ponta Do Sol,PT,65.71,broken clouds,71,84,4.88,32.6667,-17.1,Hotel do Campo
218,Belmonte,BR,79.3,overcast clouds,89,100,6.89,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
