,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
341,Dauriya,49.9333,116.8667,3.09,83,97,8.99,RU,overcast clouds
342,Simao,22.7886,100.9748,68.43,53,0,7.87,CN,clear sky
343,Igarka,67.4667,86.5833,7.72,95,100,8.72,RU,light snow
344,Port Hardy,50.6996,-127.4199,45.75,93,90,6.91,CA,light rain
345,Atar,20.5169,-13.0499,66.83,12,21,5.61,MR,few clouds
346,Lagoa,39.05,-27.9833,57.56,82,84,21.54,PT,broken clouds
347,Nurpur,29.15,78.4167,57.18,67,0,3.15,IN,clear sky
348,Lethem,3.3803,-59.7968,76.08,79,99,9.73,GY,overcast clouds
349,Cervo,43.6702,-7.4101,47.19,70,100,9.08,ES,overcast clouds
350,Nikolayevka,53.1257,47.2041,27.55,98,100,0.89,RU,overcast clouds
351,Ewa Beach,21.3156,-158.0072,74.98,73,20,5.01,US,few clouds
352,San Joaquin,37.9333,-121.3011,50.88,74,0,5.75,US,haze
353,Shanghai,31.2222,121.4581,42.87,54,75,3.0,CN,broken clouds
354,Brive-La-Gaillarde,45.25,1.5,45.84,75,100,5.28,FR,overcast clouds
355,Meulaboh,4.1363,96.1285,84.99,64,87,4.56,ID,overcast clouds
356,Yoichi,43.2039,140.7703,32.22,84,98,18.28,JP,light snow
357,Puerto Carreno,6.189,-67.4859,80.71,58,80,3.47,CO,broken clouds
358,Muisne,0.6,-80.0333,76.5,83,93,5.14,EC,overcast clouds
359,Vagur,61.4732,-6.8119,37.22,72,100,15.37,FO,overcast clouds
360,Carupano,10.6678,-63.2585,74.32,87,3,8.59,VE,clear sky
361,Sao Joao Da Barra,-21.6403,-41.0511,75.13,87,98,15.75,BR,overcast clouds
362,Barra Do Garcas,-15.89,-52.2567,73.0,91,54,0.34,BR,broken clouds
363,Kupang,-10.1667,123.5833,84.24,74,24,11.7,ID,few clouds
364,Severo-Kurilsk,50.6789,156.125,30.51,89,86,9.75,RU,light snow
365,Gamba,-2.65,10.0,74.95,87,98,4.23,GA,overcast clouds
366,Berlevag,70.8578,29.0864,20.75,80,100,25.14,NO,overcast clouds
367,Bria,6.5423,21.9863,66.85,30,64,4.16,CF,broken clouds
368,Megion,61.0296,76.1136,19.42,94,100,7.07,RU,overcast clouds
369,Saint-Joseph,-21.3667,55.6167,82.78,83,99,20.87,RE,light rain
370,Hambantota,6.1241,81.1185,82.74,78,66,8.05,LK,broken clouds
371,Taoudenni,22.6783,-3.9836,61.74,16,51,10.13,ML,broken clouds
372,Lavrentiya,65.5833,-171.0,-10.43,84,2,8.72,RU,clear sky
373,Batagay-Alyta,67.8006,130.4114,-20.27,96,39,0.6,RU,scattered clouds
374,Tortoli,39.9256,9.6572,53.08,66,94,3.78,IT,light rain
375,Hualmay,-11.0964,-77.6139,69.51,86,60,7.76,PE,broken clouds
376,Temuco,-38.7333,-72.6,51.57,98,63,1.07,CL,broken clouds
377,Longyearbyen,78.2186,15.6401,13.84,57,20,27.63,SJ,few clouds
378,Ojinaga,29.5667,-104.4167,35.42,43,0,3.44,MX,clear sky
379,Talcahuano,-36.7167,-73.1167,56.91,86,47,12.33,CL,scattered clouds
380,Port Blair,11.6667,92.75,86.04,70,40,11.5,IN,scattered clouds
381,Centralia,46.7162,-122.9543,47.3,83,100,3.44,US,overcast clouds
382,Sioux Lookout,50.1001,-91.917,-19.64,100,73,2.84,CA,broken clouds
383,Port Macquarie,-31.4333,152.9167,72.9,65,78,17.74,AU,broken clouds
384,Les Cayes,18.2,-73.75,73.71,77,7,4.32,HT,clear sky
385,Togur,58.3631,82.8265,21.47,86,100,11.36,RU,overcast clouds
386,Maues,-3.3836,-57.7186,71.89,96,100,2.15,BR,light rain
387,Scarborough,54.2797,-0.4044,39.07,85,35,5.01,GB,scattered clouds
388,Dale,38.1689,-86.99,22.06,86,75,9.22,US,broken clouds
389,Terrace Bay,48.7834,-87.1,-5.42,92,89,8.32,CA,overcast clouds
390,Kattivakkam,13.2167,80.3167,84.29,81,64,4.94,IN,broken clouds
391,Fallon,39.4735,-118.7774,37.42,39,63,2.33,US,broken clouds
392,Mount Isa,-20.7333,139.5,91.17,17,5,10.36,AU,clear sky
393,Razumnoye,50.5344,36.6846,20.48,93,100,13.42,RU,overcast clouds
394,Nome,64.5011,-165.4064,0.16,68,99,7.23,US,overcast clouds
395,Merauke,-8.4667,140.3333,85.21,72,61,11.9,ID,broken clouds
396,Opuwo,-18.0607,13.84,65.73,54,66,3.27,NA,broken clouds
397,Jos,9.9167,8.9,54.32,24,0,6.6,NG,clear sky
398,San Isidro,-12.1167,-77.05,68.5,53,100,1.01,PE,overcast clouds
399,Karlstad,59.3793,13.5036,30.76,100,9,10.36,SE,clear sky
400,Biltine,14.5333,20.9167,59.04,23,4,18.9,TD,clear sky
401,Egvekinot,66.3167,-179.1667,-7.31,79,0,13.53,RU,clear sky
402,Fuerte Olimpo,-21.0415,-57.8738,79.47,65,21,6.15,PY,few clouds
403,Gravdal,68.1214,13.5031,28.56,77,91,17.67,NO,light snow
404,Kuito,-12.3833,16.9333,58.46,95,100,5.57,AO,light rain
405,Sisimiut,66.9395,-53.6735,0.72,84,100,17.47,GL,overcast clouds
406,Kosa,59.9445,54.9977,14.72,95,100,6.46,RU,light snow
407,Kungurtug,50.5994,97.5228,2.5,86,33,1.43,RU,scattered clouds
408,Lavras,-21.2453,-44.9997,67.14,95,100,1.86,BR,overcast clouds
409,Seoul,37.5683,126.9778,29.59,39,24,14.0,KR,few clouds
410,Shamkhal,43.0596,47.3373,35.58,95,100,22.21,RU,overcast clouds
411,Grabouw,-34.1515,19.0151,62.38,80,0,11.39,ZA,clear sky
412,Lakatoro,-16.0999,167.4164,80.31,88,100,21.63,VU,overcast clouds
413,Puerto Escondido,15.85,-97.0667,77.83,78,0,0.0,MX,clear sky
414,Maroantsetra,-15.4333,49.7333,80.04,74,100,6.69,MG,overcast clouds
415,Noumea,-22.2763,166.4572,85.98,76,100,8.25,NC,light rain
416,Cabedelo,-6.9811,-34.8339,78.51,77,6,9.57,BR,clear sky
417,Pervomayskoye,43.919,46.7102,34.72,95,100,16.46,RU,light snow
418,Moerdijk,51.7034,4.6259,43.0,87,14,5.01,NL,few clouds
419,Cidreira,-30.1811,-50.2056,72.0,93,10,3.83,BR,clear sky
420,Luau,-10.7073,22.2247,60.89,99,100,2.89,AO,overcast clouds
421,Matagami,49.7502,-77.6328,-10.71,98,100,2.82,CA,overcast clouds
422,College,64.8569,-147.8028,5.58,78,100,0.0,US,mist
423,Khudumelapye,-23.8833,24.75,69.06,76,88,8.55,BW,overcast clouds
424,Karibib,-21.9333,15.8333,66.2,63,87,5.59,NA,overcast clouds
425,Sojat,25.9167,73.6667,68.59,23,0,1.7,IN,clear sky
426,Bonavista,48.6499,-53.1147,31.12,94,100,23.98,CA,snow
427,Xining,36.6167,101.7667,18.55,65,100,6.15,CN,overcast clouds
428,Melbu,68.5044,14.8297,26.35,73,68,9.46,NO,light snow
429,Somerset,40.5668,-74.5496,31.1,78,100,1.99,US,overcast clouds
430,Dingle,10.9995,122.6711,82.47,70,83,18.01,PH,broken clouds
431,Celestun,20.8667,-90.4,73.47,90,38,19.06,MX,scattered clouds
432,Wawa,9.9022,4.4192,69.78,25,0,4.18,NG,clear sky
433,Medea,36.2642,2.7539,46.98,42,98,2.26,DZ,overcast clouds
434,Kyra,49.5776,111.9753,15.31,65,42,7.96,RU,scattered clouds
435,Klaksvik,62.2266,-6.589,34.72,58,98,9.15,FO,overcast clouds
436,Zyryanka,65.75,150.85,-31.45,100,100,1.32,RU,overcast clouds
437,Bama,11.5221,13.6856,59.61,37,32,7.16,NG,scattered clouds
438,Krasnoselkup,65.7,82.4667,16.56,95,100,5.17,RU,light snow
439,Wanning,18.8003,110.3967,67.53,81,100,12.03,CN,overcast clouds
440,Mangrol,21.1167,70.1167,70.97,50,13,3.33,IN,few clouds
441,Santa Vitoria Do Palmar,-33.5189,-53.3681,68.49,95,41,4.29,BR,scattered clouds
442,Kanevskaya,46.0849,38.9596,29.8,89,98,9.75,RU,light snow
443,Saint-Francois,46.4154,3.9054,35.04,92,0,5.75,FR,clear sky
444,Washington,47.5001,-120.5015,43.75,93,54,3.51,US,broken clouds
445,Yuanping,38.7153,112.7575,27.59,24,99,6.49,CN,overcast clouds
446,Janakpur,26.7183,85.9065,58.59,82,99,1.92,NP,overcast clouds
447,Goderich,43.7501,-81.7165,11.91,96,100,4.47,CA,overcast clouds
448,Micheweni,-4.9667,39.8333,80.62,80,99,5.35,TZ,overcast clouds
449,Nizwa,22.9333,57.5333,69.87,29,5,2.17,OM,clear sky
450,Diffa,13.3154,12.6113,59.59,41,17,12.06,NE,few clouds
451,Lata,40.1629,-8.3327,42.06,96,79,2.75,PT,broken clouds
452,Ketchikan,55.3422,-131.6461,45.07,70,40,9.22,US,scattered clouds
453,Novopokrovka,49.8425,36.5477,21.58,98,62,4.5,UA,broken clouds
454,Srednekolymsk,67.45,153.6833,-32.13,100,98,0.74,RU,overcast clouds
455,Prata,-19.3072,-48.9242,70.74,89,78,1.5,BR,broken clouds
456,Broome,42.2506,-75.833,16.38,85,100,9.22,US,mist
457,Ballina,-28.8667,153.5667,71.78,81,75,14.97,AU,broken clouds
458,Victoria,22.2855,114.1577,64.04,70,66,1.01,HK,broken clouds
459,Siderno,38.2779,16.302,59.18,54,98,7.87,IT,overcast clouds
460,Nassau,40.7507,-73.5829,29.93,79,100,1.01,US,overcast clouds
461,Yatou,37.15,122.3833,32.31,37,70,17.56,CN,broken clouds
462,Podor,16.6527,-14.9587,71.56,10,0,9.19,MR,clear sky
463,Fortuna,40.5982,-124.1573,45.52,93,75,0.0,US,broken clouds
464,Pisco,-13.7,-76.2167,67.01,88,0,0.0,PE,clear sky
465,Coruripe,-10.1256,-36.1756,77.23,78,19,8.23,BR,few clouds
466,Kingston,17.997,-76.7936,73.15,80,8,1.01,JM,clear sky
467,Nuuk,64.1835,-51.7216,7.88,78,75,11.5,GL,light snow
468,Honolulu,21.3069,-157.8583,74.86,77,9,5.01,US,clear sky
469,Shahrud,36.4182,54.9763,43.43,42,2,4.79,IR,clear sky
470,Debre Tabor,11.85,38.0167,55.53,38,28,3.31,ET,scattered clouds
471,San Quintin,30.4833,-115.95,55.74,50,17,3.91,MX,few clouds
472,Saint-Pierre,-21.3393,55.4781,83.88,65,99,3.44,RE,overcast clouds
473,Pamanukan,-6.2842,107.8106,82.09,79,83,13.27,ID,broken clouds
474,Shu,43.5983,73.7614,39.07,40,0,4.88,KZ,clear sky
475,Osoyoos,49.0331,-119.4524,33.33,88,100,3.11,CA,overcast clouds
476,Kabalo,-6.05,26.9167,66.76,96,100,2.71,CD,overcast clouds
477,Isiro,2.7739,27.616,66.54,73,94,1.72,CD,overcast clouds
478,Guangyuan,32.442,105.823,41.34,95,100,1.97,CN,light rain
479,Nyurba,63.2842,118.3319,-9.31,94,96,3.4,RU,overcast clouds
480,Kazerun,29.6195,51.6541,53.01,87,100,4.41,IR,overcast clouds
481,Barra Patuca,15.8,-84.2833,76.41,84,10,6.87,HN,clear sky
482,Aksarka,66.5606,67.7975,-1.88,100,89,2.08,RU,overcast clouds
483,Tingo Maria,-9.2895,-76.0088,68.54,94,57,1.72,PE,broken clouds
484,Inuvik,68.3499,-133.7218,-28.95,94,6,11.23,CA,clear sky
485,Mantua,45.1667,10.7833,42.98,91,100,1.32,IT,overcast clouds
486,Gizo,-8.103,156.8419,85.82,71,93,10.49,SB,overcast clouds
487,Fredonia,42.4401,-79.3317,17.47,79,100,6.91,US,overcast clouds
488,Acarau,-2.8856,-40.12,78.22,83,37,11.01,BR,moderate rain
489,Dali,25.7,100.1833,58.71,30,41,10.4,CN,scattered clouds
490,Sao Felix Do Xingu,-6.6447,-51.995,70.74,95,77,1.5,BR,broken clouds
491,Kargasok,59.0556,80.8572,23.04,94,100,11.34,RU,light snow
492,Yelanskiy,56.8419,62.5014,22.59,90,100,8.39,RU,overcast clouds
493,Indramayu,-6.3264,108.32,82.04,77,89,14.52,ID,overcast clouds
494,Hailar,49.2,119.7,6.17,80,100,10.36,CN,overcast clouds
495,Bombay,19.0144,72.8479,76.98,36,46,3.44,IN,smoke
496,Lensk,60.7253,114.9278,6.24,88,99,7.94,RU,overcast clouds
497,Newport News,36.9788,-76.428,40.05,89,100,14.97,US,light rain
498,Oppdal,62.5943,9.6912,23.76,79,77,22.84,NO,broken clouds
499,Taiyuan,37.8694,112.5603,31.86,23,0,8.95,CN,clear sky
500,Vilcun,-38.65,-72.2333,47.59,98,75,1.77,CL,broken clouds
501,Santa Rosalia,27.3167,-112.2833,53.89,53,0,9.17,MX,clear sky
502,Lure,47.75,6.5,35.47,100,100,0.0,FR,fog
503,Abalak,58.1286,68.5944,19.62,94,100,5.01,RU,overcast clouds
504,Sinjar,36.3209,41.8754,42.1,86,59,5.48,IQ,broken clouds
505,Wahpeton,46.2652,-96.6059,-4.99,77,100,10.36,US,overcast clouds
506,Verkh-Neyvinskiy,57.2701,60.1376,18.75,97,100,3.27,RU,overcast clouds
507,Homer,59.6425,-151.5483,20.08,85,60,6.89,US,broken clouds
508,Fairview,40.8126,-73.999,29.59,86,100,5.75,US,overcast clouds
509,Nouadhibou,20.931,-17.0347,65.79,66,13,12.84,MR,few clouds
510,Prado,-17.3411,-39.2208,75.22,91,100,6.93,BR,overcast clouds
511,Balykshi,47.0667,51.8667,32.0,100,100,13.42,KZ,fog
512,Dordrecht,51.81,4.6736,42.98,85,13,5.99,NL,few clouds
513,Manaure,11.7751,-72.4445,75.51,82,0,11.65,CO,clear sky
514,Peine,52.3167,10.2333,41.32,77,84,5.01,DE,broken clouds
515,Jackson,42.4165,-122.8345,44.04,76,20,0.0,US,few clouds
516,Shelburne,44.0787,-80.2041,5.76,88,100,7.58,CA,overcast clouds
517,Douentza,14.9951,-2.9517,61.34,14,6,4.88,ML,clear sky
518,Tsabong,-26.0217,22.401,73.67,54,25,8.79,BW,scattered clouds
519,Mombetsu,44.3525,143.3525,27.86,80,100,13.69,JP,light snow
520,Dabakala,8.3667,-4.4333,69.85,17,1,2.17,CI,clear sky
521,Ndende,-2.4008,11.3581,70.2,99,100,0.34,GA,light rain
522,Minna,9.6139,6.5569,71.02,12,0,10.07,NG,clear sky
523,Mnogovershinnyy,53.9353,139.9242,1.67,86,96,7.87,RU,overcast clouds
524,San Policarpo,12.1791,125.5072,81.05,76,97,19.04,PH,overcast clouds
525,Chara,56.9064,118.2631,-4.59,90,83,1.43,RU,broken clouds
526,Saravan,39.7196,45.6483,25.45,96,99,1.63,AM,light snow
527,Solenzo,12.1833,-4.0833,65.7,16,16,7.18,BF,few clouds
528,Nishihara,26.1842,127.7558,62.65,51,40,17.27,JP,scattered clouds
529,Ossora,59.2353,163.0719,9.01,79,100,7.31,RU,overcast clouds
530,Inhapim,-19.5492,-42.12,70.39,99,100,3.18,BR,light rain
531,Aykhal,66.0,111.5,-14.3,99,85,5.75,RU,overcast clouds
532,Ternate,0.8,127.4,85.62,68,96,5.84,ID,overcast clouds
533,Nantucket,41.2835,-70.0995,34.14,93,100,19.82,US,overcast clouds
534,Los Llanos De Aridane,28.6585,-17.9182,57.13,74,0,10.0,ES,clear sky
535,Atikokan,48.7555,-91.6216,-22.29,100,53,1.39,CA,broken clouds
536,Manyana,-23.4,21.7167,68.79,75,65,7.63,BW,broken clouds
537,Chicama,-7.8447,-79.1469,70.83,76,66,5.26,PE,broken clouds
538,Gelemso,8.8167,40.5167,63.16,12,4,4.29,ET,clear sky
539,Karlskrona,56.1616,15.5866,34.25,84,85,17.65,SE,overcast clouds
540,Saint-Louis,16.3333,-15.0,71.11,10,0,9.53,SN,clear sky
541,Novobirilyussy,56.9514,90.6661,22.03,79,100,12.46,RU,overcast clouds
542,Dori,14.0354,-0.0345,60.57,13,2,10.42,BF,clear sky
543,Teguise,29.0605,-13.564,61.02,63,0,9.22,ES,clear sky
544,Quelimane,-17.8786,36.8883,76.03,80,38,6.64,MZ,scattered clouds
545,Tiznit,29.5833,-9.5,62.11,31,100,3.85,MA,overcast clouds
546,Chengde,40.9725,117.9361,26.26,26,0,16.31,CN,clear sky
547,Bereda,43.2686,-7.5406,46.42,100,73,5.21,ES,broken clouds
548,Santa Cecilia,-26.9608,-50.4269,61.61,99,92,1.99,BR,overcast clouds
549,Bundaberg,-24.85,152.35,78.76,57,70,20.02,AU,broken clouds
550,Anadyr,64.75,177.4833,-9.85,82,0,4.16,RU,clear sky
551,Tucupita,9.0622,-62.051,69.33,96,6,3.22,VE,clear sky
552,Alta Floresta,-9.8756,-56.0861,70.57,97,39,1.72,BR,scattered clouds
553,Siguiri,11.6667,-9.5,67.69,18,0,3.58,GN,clear sky
554,Bilibino,68.0546,166.4372,-7.69,86,1,5.3,RU,clear sky
555,Yamada,39.4667,141.95,33.49,40,51,12.15,JP,broken clouds
556,Sungaipenuh,-2.0833,101.3833,75.2,69,100,0.96,ID,overcast clouds
557,Waddan,29.1614,16.139,47.23,49,1,3.85,LY,clear sky
558,Sigli,5.3848,95.9609,83.73,68,70,5.44,ID,broken clouds
559,Turayf,31.6725,38.6637,43.18,81,73,16.24,SA,broken clouds
560,Hit,33.6416,42.8251,48.06,67,5,8.41,IQ,clear sky
561,Fiumicino,41.7675,12.2291,53.49,95,40,5.75,IT,scattered clouds
562,Yurino,56.2942,46.3039,20.52,95,100,9.95,RU,snow
563,Kjopsvik,68.097,16.3742,24.67,81,73,11.41,NO,broken clouds
564,Henties Bay,-22.116,14.2845,65.86,84,100,3.78,NA,overcast clouds
565,Malartic,48.1335,-78.1328,-15.34,100,88,3.24,CA,overcast clouds
566,Thunder Bay,48.4001,-89.3168,-0.44,97,32,4.65,CA,scattered clouds
567,Mount Gambier,-37.8333,140.7667,74.21,46,58,14.2,AU,broken clouds
568,Tamiahua,21.2667,-97.45,48.96,59,100,14.2,MX,overcast clouds
569,Annau,37.8876,58.516,57.45,27,3,8.97,TM,clear sky
570,Codrington,-38.2667,141.9667,69.3,58,99,20.67,AU,overcast clouds
571,Fez,34.0372,-4.9998,44.85,65,0,9.22,MA,clear sky
572,Fort Nelson,58.8053,-122.7002,-7.35,96,100,1.68,CA,overcast clouds
573,Birjand,32.8663,59.2211,51.58,35,96,5.86,IR,overcast clouds
574,Tigil,57.8,158.6667,13.78,88,100,4.76,RU,overcast clouds
575,Kaiserslautern,49.45,7.75,36.59,65,100,1.01,DE,overcast clouds
576,Karratha,-20.7377,116.8463,93.94,52,68,17.9,AU,broken clouds
577,Balud,10.1476,123.6953,81.75,77,93,16.89,PH,overcast clouds
578,Warri,5.5167,5.75,76.44,91,2,0.31,NG,clear sky
579,Shache,38.4167,77.2406,31.71,34,100,2.71,CN,overcast clouds
580,Ullapool,57.8987,-5.1604,41.34,97,99,16.2,GB,moderate rain
581,Baracoa,20.3467,-74.4958,73.54,78,92,10.8,CU,overcast clouds
582,Bitung,1.4451,125.1824,86.85,73,90,11.1,ID,overcast clouds
583,San Lawrenz,36.0553,14.204,55.85,89,4,1.01,MT,clear sky
584,Arlit,18.7369,7.3853,53.26,26,0,4.72,NE,clear sky
585,Margate,51.3813,1.3862,38.95,82,1,1.01,GB,clear sky
586,Kirando,-7.4167,30.6,69.94,81,100,3.04,TZ,overcast clouds
587,Vasilyevskiy Mokh,57.0132,35.919,14.85,98,100,3.09,RU,overcast clouds
588,Chone,-0.6833,-80.1,73.22,91,72,2.19,EC,broken clouds
589,Punta Cardon,11.6581,-70.215,76.8,80,6,16.58,VE,clear sky
590,Northallerton,54.339,-1.4324,39.9,81,40,11.5,GB,scattered clouds
591,Saint-Georges,12.0564,-61.7485,76.69,72,1,10.74,GD,clear sky
592,Beloha,-25.1667,45.05,81.54,67,34,18.25,MG,scattered clouds
593,Lleida,41.6167,0.6167,52.99,85,0,3.44,ES,clear sky
594,Churapcha,62.0025,132.4325,-20.16,90,100,3.98,RU,overcast clouds
595,Santa Fe,-31.6333,-60.7,74.01,82,37,4.0,AR,scattered clouds
596,Richards Bay,-28.783,32.0377,71.42,90,100,14.47,ZA,light rain
597,Cabanas,22.9758,-82.9219,73.87,87,0,3.49,CU,clear sky
598,Ambulu,-8.345,113.6058,85.48,64,91,4.72,ID,overcast clouds
599,Vanavara,60.34,102.2797,12.81,91,100,8.55,RU,light snow
600,Praxedis Guerrero,31.3667,-106.0167,33.57,54,0,4.99,MX,clear sky
601,Taunggyi,20.7833,97.0333,73.42,35,5,16.08,MM,clear sky
602,Cariamanga,-4.3333,-79.55,52.88,95,100,1.63,EC,overcast clouds
603,Bogalusa,30.791,-89.8487,34.83,86,100,11.5,US,overcast clouds
604,Kamina,-8.7386,24.9906,61.12,93,100,1.21,CD,overcast clouds
605,Kidal,18.4411,1.4078,55.13,22,0,11.92,ML,clear sky
606,Juegang,32.3174,121.1855,38.84,45,0,16.13,CN,clear sky
607,Gopalpur,19.2667,84.9167,76.42,30,37,11.23,IN,scattered clouds
608,Poum,-20.2333,164.0167,81.48,75,97,14.07,NC,overcast clouds
609,Anzoategui,4.63,-75.0954,58.59,86,49,4.21,CO,scattered clouds
610,Inirida,3.8653,-67.9239,72.99,94,49,3.24,CO,scattered clouds
611,Uyemskiy,64.4743,40.8524,-1.95,77,40,2.24,RU,scattered clouds
612,Nelson Bay,-32.7167,152.15,77.05,69,25,4.0,AU,light rain
613,Zhanaozen,43.3,52.8,39.11,86,100,14.88,KZ,overcast clouds
614,Alyangula,-13.8483,136.4192,75.33,91,100,3.94,AU,overcast clouds
615,Kisangani,0.5167,25.2,70.38,87,100,2.33,CD,overcast clouds
616,Hay River,60.8156,-115.7999,-7.1,96,100,8.39,CA,overcast clouds
617,Bay Roberts,47.5999,-53.2648,33.51,98,100,5.3,CA,snow
618,Odienne,9.51,-7.5692,67.51,19,38,2.57,CI,scattered clouds
619,Marawi,7.9986,124.2928,74.64,53,67,8.01,PH,broken clouds
620,Mahibadhoo,3.7833,72.9667,81.95,69,19,9.31,MV,few clouds
621,Kruisfontein,-34.0033,24.7314,65.88,79,78,3.62,ZA,broken clouds
622,Pimentel,-6.8367,-79.9342,69.78,85,61,10.83,PE,broken clouds
623,Kununurra,-15.7667,128.7333,85.98,79,95,2.3,AU,overcast clouds
624,Gull Lake,50.1001,-108.4847,34.16,98,93,17.02,CA,snow
625,Saquena,-4.6667,-73.5167,71.76,97,100,1.28,PE,overcast clouds
626,Oussouye,12.485,-16.5469,69.89,55,0,4.83,SN,clear sky
627,Presidencia Roque Saenz Pena,-26.7852,-60.4388,71.35,97,100,4.47,AR,overcast clouds
628,Westport,41.1415,-73.3579,29.75,86,100,4.0,US,overcast clouds
629,Zharkent,44.1628,80.0,31.19,41,10,3.38,KZ,clear sky
630,Pokhara,28.2333,83.9833,52.75,76,70,3.76,NP,broken clouds
631,Selikhino,50.3672,137.4996,4.73,88,100,6.15,RU,overcast clouds
632,Kerouane,9.2667,-9.0167,67.08,19,61,2.37,GN,broken clouds
633,Sangar,63.9242,127.4739,-25.49,95,98,1.3,RU,overcast clouds
634,Ninghai,29.2892,121.4247,47.84,56,16,10.0,CN,few clouds
635,Mandera,3.9366,41.867,79.16,23,69,9.13,KE,broken clouds
636,Maceio,-9.6658,-35.7353,74.64,88,40,2.3,BR,scattered clouds
637,Kenai,60.5544,-151.2583,24.85,100,100,5.75,US,mist
638,Milton,34.1322,-84.3007,35.89,87,72,3.0,US,broken clouds
639,Brae,60.3964,-1.353,40.91,66,100,21.61,GB,overcast clouds
640,Seymchan,62.8833,152.4333,-26.68,97,20,1.68,RU,few clouds
641,Vostok,46.4856,135.8833,0.57,87,100,6.89,RU,overcast clouds
642,Chumikan,54.7183,135.315,4.42,72,100,14.79,RU,overcast clouds
643,Miandrivazo,-19.5167,45.4667,80.06,80,65,4.07,MG,broken clouds
644,Tazovskiy,67.4667,78.7,5.36,96,100,7.54,RU,overcast clouds
645,Lulea,65.5842,22.1547,32.07,93,100,11.5,SE,overcast clouds
646,Yar-Sale,66.8333,70.8333,-0.83,100,90,5.84,RU,overcast clouds
647,Pochutla,15.7432,-96.4661,76.05,71,0,4.05,MX,clear sky
648,Poli,-3.3333,36.8,64.33,67,100,1.1,TZ,overcast clouds
649,Santa Isabel Do Rio Negro,-0.4139,-65.0192,72.7,99,100,0.78,BR,light rain
650,Lingao,19.9103,109.6859,63.18,76,100,17.4,CN,overcast clouds
651,Hasilpur,29.7122,72.5553,61.74,41,0,7.31,PK,clear sky
652,Kuytun,54.3419,101.5036,11.12,82,100,4.79,RU,overcast clouds
653,Bowen,-20.0167,148.2333,84.56,61,88,19.28,AU,overcast clouds
654,Kaniama,-7.5667,24.1833,63.27,96,100,2.53,CD,overcast clouds
655,Korla,41.7597,86.1469,28.58,38,100,6.55,CN,overcast clouds
656,Roebourne,-20.7833,117.1333,92.35,56,77,17.83,AU,broken clouds
657,Champerico,14.3,-91.9167,80.35,72,4,0.47,GT,clear sky
658,Viedma,-40.8135,-62.9967,61.29,68,100,19.6,AR,light rain
659,Trincomalee,8.5711,81.2335,78.28,72,10,4.16,LK,clear sky
660,Contramaestre,20.2978,-76.2414,71.08,88,2,0.6,CU,clear sky
661,Samarai,-10.6167,150.6667,84.54,76,95,9.6,PG,overcast clouds
662,Koster,-25.863,26.8976,60.17,90,97,7.14,ZA,overcast clouds
663,Bealanana,-14.55,48.7333,65.64,97,100,3.58,MG,light rain
664,Den Helder,52.9599,4.7593,42.78,76,40,21.0,NL,scattered clouds
665,Laredo,27.5064,-99.5075,39.85,52,0,9.22,US,clear sky
666,Kedougou,12.5579,-12.1743,72.37,16,0,3.33,SN,clear sky
667,Sistranda,63.7256,8.834,35.91,93,100,44.02,NO,overcast clouds
668,Rio Gallegos,-51.6226,-69.2181,50.47,68,5,17.65,AR,clear sky
669,Kyzyl-Suu,42.3414,78.0056,22.42,57,5,3.87,KG,clear sky
670,Livingston,55.9029,-3.5226,40.68,87,75,11.5,GB,broken clouds
671,Yendi,9.4427,-0.0099,70.59,17,1,5.28,GH,clear sky
672,Bafra,41.5678,35.9069,35.38,69,65,6.93,TR,broken clouds
673,Nambucca Heads,-30.65,153.0,75.2,61,94,18.43,AU,overcast clouds
674,Bandarbeyla,9.4942,50.8122,75.47,66,0,6.53,SO,clear sky
675,San Cristobal,7.7669,-72.225,69.98,92,52,3.0,VE,broken clouds
676,Russell,32.3502,-85.1999,38.48,86,100,13.8,US,overcast clouds
677,Kwinana,-32.25,115.7667,109.18,34,0,11.97,AU,clear sky
678,Healdsburg,38.6105,-122.8692,51.91,75,0,0.0,US,clear sky
679,Yuma,32.7253,-114.6244,54.37,22,1,9.6,US,clear sky
680,Nampula,-15.1165,39.2666,72.3,88,100,2.89,MZ,overcast clouds
681,Porto Novo,6.4965,2.6036,74.1,90,1,2.62,BJ,clear sky
682,Chingola,-12.529,27.8838,60.96,96,100,2.26,ZM,overcast clouds
683,Kuching,1.55,110.3333,84.42,74,40,6.91,MY,scattered clouds
684,Coromandel,-18.4733,-47.2003,66.16,92,84,0.92,BR,broken clouds
685,Thinadhoo,0.5333,72.9333,82.04,70,100,11.5,MV,overcast clouds
686,Poya,-21.35,165.15,82.8,79,100,10.31,NC,moderate rain
687,Diamantino,-14.4086,-56.4461,71.78,92,28,2.89,BR,scattered clouds
688,Lasa,46.6166,10.7002,33.3,94,40,8.3,IT,scattered clouds
689,Taihe,30.8712,105.3845,50.5,57,100,4.29,CN,overcast clouds
690,Fernie,49.5,-115.0687,31.35,98,100,5.26,CA,light snow
691,Saint-Leu,-21.15,55.2833,83.26,76,100,8.1,RE,light rain
692,Bozdar,27.1828,68.636,59.07,21,0,8.9,PK,clear sky
693,Esterhazy,50.65,-102.0843,-2.51,94,100,14.09,CA,overcast clouds
